Date,StackedEnsemble_G10,PolicyAgent_G10
2004-07-29,1.010653414412137,1.0293358558499373
2004-07-30,1.010653414412137,1.0293358558499373
2004-08-02,1.0107511207715831,1.0293358558499373
2004-08-03,1.0107103333598515,1.0293358558499373
2004-08-04,1.0107103333598515,1.0293358558499373
2004-08-05,1.0109320371413577,1.0293358558499373
2004-08-06,1.0109320371413577,1.0293358558499373
2004-08-09,1.0109320371413577,1.0293358558499373
2004-08-10,1.0109320371413577,1.0293358558499373
2004-08-11,1.0109320371413577,1.0287365399271073
2004-08-12,1.010326055484191,1.0274686835231988
2004-08-13,1.0090440976795958,1.027709960043458
2004-08-16,1.0092625945101357,1.0278553792313907
2004-08-17,1.0094096310848875,1.0278553792313907
2004-08-18,1.0094096310848875,1.0278553792313907
2004-08-19,1.0094096310848875,1.0278553792313907
2004-08-20,1.0094096310848875,1.0278553792313907
2004-08-23,1.0080657797620005,1.0263530220783508
2004-08-24,1.0054740879449344,1.0266137788827994
2004-08-25,1.005651191358771,1.0266075703874553
2004-08-26,1.0055489258332102,1.0262288521714704
2004-08-27,1.0051866288925118,1.0265144429572952
2004-08-30,1.005459836421563,1.0279345382473408
2004-08-31,1.008262720131386,1.0273533357288125
2004-09-01,1.0077044264850639,1.0273533357288125
2004-09-02,1.0075618834264286,1.0273533357288125
2004-09-03,1.0075618834264286,1.0273533357288125
2004-09-06,1.0075618834264286,1.0273533357288125
2004-09-07,1.0075618834264286,1.0273533357288125
2004-09-08,1.0075618834264286,1.0273533357288125
2004-09-09,1.0072661262077875,1.0266956876593187
2004-09-10,1.0066235123557667,1.0266544856115916
2004-09-13,1.0065832522108207,1.0266544856115916
2004-09-14,1.0067334535208112,1.0266544856115916
2004-09-15,1.0081270739227843,1.0266544856115916
2004-09-16,1.0081270739227843,1.0266544856115916
2004-09-17,1.0081270739227843,1.0266544856115916
2004-09-20,1.0081270739227843,1.0266544856115916
2004-09-21,1.0081270739227843,1.0261481731846434
2004-09-22,1.0077309402408399,1.0272808434726572
2004-09-23,1.0100056818755456,1.0281712546448356
2004-09-24,1.0109058257398607,1.0281712546448356
2004-09-27,1.0106881802160927,1.0280790825217425
2004-09-28,1.0113302299242852,1.0286610082076801
2004-09-29,1.0119977250847525,1.0299232147836708
2004-09-30,1.0141774563010948,1.0299232147836708
2004-10-01,1.0141774563010948,1.0286226987071379
2004-10-04,1.0128874958152438,1.0287756849679055
2004-10-05,1.0148118115210598,1.0287602645260179
2004-10-06,1.0148105052060383,1.0285736599273976
2004-10-07,1.0146216380374977,1.031231757025608
2004-10-08,1.0171903699814084,1.031255975414148
2004-10-11,1.017214352818571,1.031255975414148
2004-10-12,1.017214352818571,1.031255975414148
2004-10-13,1.017214352818571,1.031255975414148
2004-10-14,1.017214352818571,1.031255975414148
2004-10-15,1.017214352818571,1.031255975414148
2004-10-18,1.017214352818571,1.031255975414148
2004-10-19,1.017231156909565,1.031255975414148
2004-10-20,1.017231156909565,1.031255975414148
2004-10-21,1.017231156909565,1.031255975414148
2004-10-22,1.0171886978548637,1.031255975414148
2004-10-25,1.015651680074684,1.0315734304264725
2004-10-26,1.0159319098357114,1.0315734304264725
2004-10-27,1.0162545986514397,1.0307007841104534
2004-10-28,1.0154818438558797,1.0309501116293163
2004-10-29,1.0157026309403256,1.0309501116293163
2004-11-01,1.0160423033779342,1.0309501116293163
2004-11-02,1.0160423033779342,1.0309501116293163
2004-11-03,1.0160423033779342,1.0309501116293163
2004-11-04,1.0160423033779342,1.0309501116293163
2004-11-05,1.0155943986635283,1.0309501116293163
2004-11-08,1.0155943986635283,1.0309501116293163
2004-11-09,1.015680592592393,1.0309501116293163
2004-11-10,1.015680592592393,1.0309501116293163
2004-11-11,1.015680592592393,1.0309501116293163
2004-11-12,1.015680592592393,1.0309501116293163
2004-11-15,1.015680592592393,1.0309501116293163
2004-11-16,1.0157283595635203,1.0309501116293163
2004-11-17,1.0157283595635203,1.0309501116293163
2004-11-18,1.016389487180267,1.0309501116293163
2004-11-19,1.0154507316155956,1.0311347700335678
2004-11-22,1.0156544620476722,1.0311347700335678
2004-11-23,1.0151198581729515,1.0309928697006052
2004-11-24,1.0149639822275032,1.0303134792539876
2004-11-25,1.0135619716736877,1.0304533026478184
2004-11-26,1.0136541489972095,1.0304533026478184
2004-11-29,1.0148061090065785,1.0304533026478184
2004-11-30,1.0139189152044064,1.0290018586977459
2004-12-01,1.01254718744603,1.0295843975465706
2004-12-02,1.013097732101389,1.028458293211801
2004-12-03,1.0120334756588616,1.0291410359319235
2004-12-06,1.012669663551021,1.0286886832481479
2004-12-07,1.012244181206145,1.0299661084647909
2004-12-08,1.0134348573735152,1.0304974307740373
2004-12-09,1.0139369984036264,1.031240651452874
2004-12-10,1.0151991240348204,1.031240651452874
2004-12-13,1.0146264154346258,1.031240651452874
2004-12-14,1.0144861486924182,1.031240651452874
2004-12-15,1.0144861486924182,1.031240651452874
2004-12-16,1.0144861486924182,1.031661634641537
2004-12-17,1.0154446131828445,1.0317888705864908
2004-12-20,1.0154446131828445,1.0314728411173775
2004-12-21,1.0154218446841339,1.0314728411173775
